Product Name,Category,Rating,Reviewer Name,Review
"Sunlight Care Detergent Liquid, 1L",Laundry,1.0,Eranga D,I purchased 2 bottles. Both seem partially used because it was not full. One bottle had leaked too. Furthermore the item was sold at Rs. 752/= but the MRP marked on the bottle is Rs. 480/=. This is fraud as per consumer protection
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Suranga Y,Very fast & safe delivery . Neet packing. I wish to buy more... Thank you .
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Ishini F,Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!
"Sunlight Care Detergent Liquid, 1L",Laundry,1.0,Dr. K,Alot of liquid has leaked.im very much disappointed.
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Rajitha S.,Thank you very much !! I received my package today which was in a very good condition . The delivery process was very fast and smooth as it was promised in your web site . I have complete trust in your organization to get my packages delivered to me in time to come .
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0, Sajitha W,Fast Delivery Delivered within One Day Well Packed Not Leaked Any Liquid Bottle Seller Recommended
"Sunlight Care Detergent Liquid, 1L",Laundry,3.0,Buddika,As many have complained here. it was leaking when i got it. reasonable amount has leaked . 
"Sunlight Care Detergent Liquid, 1L",Laundry,2.0,Vidura C,3/4 filled bottle. had spilled some out of the bottle too
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0, Madhawa M,Very good but some liquid leaking. Please pack proper way some bottles are up side down 
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,omindu V,Nice packing....fast delivery....highly recommended😊😊😊
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Asela N.,good product with reasonable price
"Sunlight Care Detergent Liquid, 1L",Laundry,2.0,Imthath R,Very Bad packing .Most of them were fully a Wasted.liquid Are fully leaked.Please maku sure to careful packing in future.Very Dissatisfied with this I lost from it all
"Sunlight Care Detergent Liquid, 1L",Laundry,4.0,Anushka P,"reasonable price. but pls get precautions to stop the leakage at transport. both 2 parcels have liquid leaks. I saw most of customers are raising same issue. so pls lookin to this. except that, satisfied"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,ruchira K,Quick delivery...Nicely packed...newly manufactured items from authorized seller..discounted price...highly recommended seller...thank you...
"Sunlight Care Detergent Liquid, 1L",Laundry,1.0,Kamaya J,"Product leak. Daraz wrapping for delivery is very bad, wrapped with a lot of bubble wraps and celotape which has tighten the product. and then on delivery the bottles are placed upside down. the liquid has leaked inside the bubble wrap."
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,mohamed N,thank daraz no damages good product 👍
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Mohamed S,Fortunately no leaks at all. Good packaging. Put inside a box and added liquid sticker. Item is good and the best ever discounted price on daraz. Highly recommended ⭐
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,4.0,Gihan C,"Awesome , Very well packed"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Ishara M,Thank you Dmart for the the good price. Package came without any damages.
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,1.0,Mrs. Paul,Don't cheat people for a small amount. I paid 997 Rs but it's only 900 RS and still old stock. Everything you did to your fellow man has a reward. God is awake to all. so stop being cheated on all and be honest.
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Kiyomi K,"I can got it cheaper than the shops!! (680Rs) Label says 900Rs, but now price is over 1,400Rs! I was lucky!"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,1.0,Shai S,Blue color comfort 2 bottles were damaged and leaked..... 
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,1.0,Isuru V,"Half of the bottle is leaked, why the manufacturers can't seal mouth of the bottle, poorly packed."
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,A L,good service...safty packing...fast delivery...thank u daraz...😍
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,4.0,Chamara G,Since Unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing. gives your clothes an everlasting wonderful smell. Thank you Unilever. and daraz mall. excellent delivery by LK DEX agent Mohamed azar.
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,2.0,Sifa P,Sellers stolen some quantity of liquid. Can’t give stars .only hv 3/4 part inside . I bought 2 bottles both r same . Whn we r buy thru food city or somewhere not lyk dis 😡
