Product Name,Category,Rating,Reviewer Name,Review,Review_without_emoji,preprocess_text,preprocess_text1
"Sunlight Care Detergent Liquid, 1L",Laundry,1.0,Eranga D,I purchased 2 bottles. Both seem partially used because it was not full. One bottle had leaked too. Furthermore the item was sold at Rs. 752/= but the MRP marked on the bottle is Rs. 480/=. This is fraud as per consumer protection,I purchased 2 bottles. Both seem partially used because it was not full. One bottle had leaked too. Furthermore the item was sold at Rs. 752/= but the MRP marked on the bottle is Rs. 480/=. This is fraud as per consumer protection,i purchased 2 bottles both seem partially used because it was not full one bottle had leaked too furthermore the item was sold at rs 752/ but the mrp marked on the bottle is rs 480/ this is fraud as per consumer protection,"['purchased', '2', 'bottles', 'seem', 'partially', 'used', 'full', 'one', 'bottle', 'leaked', 'furthermore', 'item', 'sold', 'rs', '752/', 'mrp', 'marked', 'bottle', 'rs', '480/', 'fraud', 'per', 'consumer', 'protection']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Suranga Y,Very fast & safe delivery . Neet packing. I wish to buy more... Thank you .,Very fast & safe delivery . Neet packing. I wish to buy more... Thank you .,very fast  safe delivery  neet packing i wish to buy more thank you ,"['fast', 'safe', 'delivery', 'neet', 'packing', 'wish', 'buy', 'thank']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Ishini F,Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!,Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!,fast delivery during this pandemic got the product very next day after ordering safely packed and no leakage great service,"['fast', 'delivery', 'pandemic', 'got', 'product', 'next', 'day', 'ordering', 'safely', 'packed', 'leakage', 'great', 'service']"
"Sunlight Care Detergent Liquid, 1L",Laundry,1.0,Dr. K,Alot of liquid has leaked.im very much disappointed.,Alot of liquid has leaked.im very much disappointed.,alot of liquid has leakedim very much disappointed,"['alot', 'liquid', 'leakedim', 'much', 'disappointed']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Rajitha S.,Thank you very much !! I received my package today which was in a very good condition . The delivery process was very fast and smooth as it was promised in your web site . I have complete trust in your organization to get my packages delivered to me in time to come .,Thank you very much !! I received my package today which was in a very good condition . The delivery process was very fast and smooth as it was promised in your web site . I have complete trust in your organization to get my packages delivered to me in time to come .,thank you very much  i received my package today which was in a very good condition  the delivery process was very fast and smooth as it was promised in your web site  i have complete trust in your organization to get my packages delivered to me in time to come ,"['thank', 'much', 'received', 'package', 'today', 'good', 'condition', 'delivery', 'process', 'fast', 'smooth', 'promised', 'web', 'site', 'complete', 'trust', 'organization', 'get', 'packages', 'delivered', 'time', 'come']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0, Sajitha W,Fast Delivery Delivered within One Day Well Packed Not Leaked Any Liquid Bottle Seller Recommended,Fast Delivery Delivered within One Day Well Packed Not Leaked Any Liquid Bottle Seller Recommended,fast delivery delivered within one day well packed not leaked any liquid bottle seller recommended,"['fast', 'delivery', 'delivered', 'within', 'one', 'day', 'well', 'packed', 'leaked', 'liquid', 'bottle', 'seller', 'recommended']"
"Sunlight Care Detergent Liquid, 1L",Laundry,3.0,Buddika,As many have complained here. it was leaking when i got it. reasonable amount has leaked . ,As many have complained here. it was leaking when i got it. reasonable amount has leaked . ,as many have complained here it was leaking when i got it reasonable amount has leaked  ,"['many', 'complained', 'leaking', 'got', 'reasonable', 'amount', 'leaked']"
"Sunlight Care Detergent Liquid, 1L",Laundry,2.0,Vidura C,3/4 filled bottle. had spilled some out of the bottle too,3/4 filled bottle. had spilled some out of the bottle too,3/4 filled bottle had spilled some out of the bottle too,"['3/4', 'filled', 'bottle', 'spilled', 'bottle']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0, Madhawa M,Very good but some liquid leaking. Please pack proper way some bottles are up side down ,Very good but some liquid leaking. Please pack proper way some bottles are up side down ,very good but some liquid leaking please pack proper way some bottles are up side down ,"['good', 'liquid', 'leaking', 'please', 'pack', 'proper', 'way', 'bottles', 'side']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,omindu V,Nice packing....fast delivery....highly recommended😊😊😊,Nice packing....fast delivery....highly recommendedsmiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes,nice packingfast deliveryhighly recommendedsmiling face with smiling eyessmiling face with smiling eyessmiling face with smiling eyes,"['nice', 'packingfast', 'deliveryhighly', 'recommendedsmiling', 'face', 'smiling', 'eyessmiling', 'face', 'smiling', 'eyessmiling', 'face', 'smiling', 'eyes']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,Asela N.,good product with reasonable price,good product with reasonable price,good product with reasonable price,"['good', 'product', 'reasonable', 'price']"
"Sunlight Care Detergent Liquid, 1L",Laundry,2.0,Imthath R,Very Bad packing .Most of them were fully a Wasted.liquid Are fully leaked.Please maku sure to careful packing in future.Very Dissatisfied with this I lost from it all,Very Bad packing .Most of them were fully a Wasted.liquid Are fully leaked.Please maku sure to careful packing in future.Very Dissatisfied with this I lost from it all,very bad packing most of them were fully a wastedliquid are fully leakedplease maku sure to careful packing in futurevery dissatisfied with this i lost from it all,"['bad', 'packing', 'fully', 'wastedliquid', 'fully', 'leakedplease', 'maku', 'sure', 'careful', 'packing', 'futurevery', 'dissatisfied', 'lost']"
"Sunlight Care Detergent Liquid, 1L",Laundry,4.0,Anushka P,"reasonable price. but pls get precautions to stop the leakage at transport. both 2 parcels have liquid leaks. I saw most of customers are raising same issue. so pls lookin to this. except that, satisfied","reasonable price. but pls get precautions to stop the leakage at transport. both 2 parcels have liquid leaks. I saw most of customers are raising same issue. so pls lookin to this. except that, satisfied",reasonable price but pls get precautions to stop the leakage at transport both 2 parcels have liquid leaks i saw most of customers are raising same issue so pls lookin to this except that satisfied,"['reasonable', 'price', 'pls', 'get', 'precautions', 'stop', 'leakage', 'transport', '2', 'parcels', 'liquid', 'leaks', 'saw', 'customers', 'raising', 'issue', 'pls', 'lookin', 'except', 'satisfied']"
"Sunlight Care Detergent Liquid, 1L",Laundry,5.0,ruchira K,Quick delivery...Nicely packed...newly manufactured items from authorized seller..discounted price...highly recommended seller...thank you...,Quick delivery...Nicely packed...newly manufactured items from authorized seller..discounted price...highly recommended seller...thank you...,quick deliverynicely packednewly manufactured items from authorized sellerdiscounted pricehighly recommended sellerthank you,"['quick', 'deliverynicely', 'packednewly', 'manufactured', 'items', 'authorized', 'sellerdiscounted', 'pricehighly', 'recommended', 'sellerthank']"
"Sunlight Care Detergent Liquid, 1L",Laundry,1.0,Kamaya J,"Product leak. Daraz wrapping for delivery is very bad, wrapped with a lot of bubble wraps and celotape which has tighten the product. and then on delivery the bottles are placed upside down. the liquid has leaked inside the bubble wrap.","Product leak. Daraz wrapping for delivery is very bad, wrapped with a lot of bubble wraps and celotape which has tighten the product. and then on delivery the bottles are placed upside down. the liquid has leaked inside the bubble wrap.",product leak daraz wrapping for delivery is very bad wrapped with a lot of bubble wraps and celotape which has tighten the product and then on delivery the bottles are placed upside down the liquid has leaked inside the bubble wrap,"['product', 'leak', 'daraz', 'wrapping', 'delivery', 'bad', 'wrapped', 'lot', 'bubble', 'wraps', 'celotape', 'tighten', 'product', 'delivery', 'bottles', 'placed', 'upside', 'liquid', 'leaked', 'inside', 'bubble', 'wrap']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,mohamed N,thank daraz no damages good product 👍,thank daraz no damages good product thumbs up,thank daraz no damages good product thumbs up,"['thank', 'daraz', 'damages', 'good', 'product', 'thumbs']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Mohamed S,Fortunately no leaks at all. Good packaging. Put inside a box and added liquid sticker. Item is good and the best ever discounted price on daraz. Highly recommended ⭐,Fortunately no leaks at all. Good packaging. Put inside a box and added liquid sticker. Item is good and the best ever discounted price on daraz. Highly recommended star,fortunately no leaks at all good packaging put inside a box and added liquid sticker item is good and the best ever discounted price on daraz highly recommended star,"['fortunately', 'leaks', 'good', 'packaging', 'put', 'inside', 'box', 'added', 'liquid', 'sticker', 'item', 'good', 'best', 'ever', 'discounted', 'price', 'daraz', 'highly', 'recommended', 'star']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,4.0,Gihan C,"Awesome , Very well packed","Awesome , Very well packed",awesome  very well packed,"['awesome', 'well', 'packed']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Ishara M,Thank you Dmart for the the good price. Package came without any damages.,Thank you Dmart for the the good price. Package came without any damages.,thank you dmart for the the good price package came without any damages,"['thank', 'dmart', 'good', 'price', 'package', 'came', 'without', 'damages']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,1.0,Mrs. Paul,Don't cheat people for a small amount. I paid 997 Rs but it's only 900 RS and still old stock. Everything you did to your fellow man has a reward. God is awake to all. so stop being cheated on all and be honest.,Don't cheat people for a small amount. I paid 997 Rs but it's only 900 RS and still old stock. Everything you did to your fellow man has a reward. God is awake to all. so stop being cheated on all and be honest.,dont cheat people for a small amount i paid 997 rs but its only 900 rs and still old stock everything you did to your fellow man has a reward god is awake to all so stop being cheated on all and be honest,"['dont', 'cheat', 'people', 'small', 'amount', 'paid', '997', 'rs', '900', 'rs', 'still', 'old', 'stock', 'everything', 'fellow', 'man', 'reward', 'god', 'awake', 'stop', 'cheated', 'honest']"
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,5.0,Kiyomi K,"I can got it cheaper than the shops!! (680Rs) Label says 900Rs, but now price is over 1,400Rs! I was lucky!","I can got it cheaper than the shops!! (680Rs) Label says 900Rs, but now price is over 1,400Rs! I was lucky!",i can got it cheaper than the shops 680rs label says 900rs but now price is over 1400rs i was lucky,"['got', 'cheaper', 'shops', '680rs', 'label', 'says', '900rs', 'price', '1400rs', 'lucky']"
